TimesheetID,Date,ConsultantID,ProjectID,Hours,IsBillable
TS0000068,2024-02-26,C004,P015,7.1,1
TS0000069,2024-02-26,C026,P015,8.3,1
TS0000070,2024-02-26,C016,P015,7.6,1
TS0000071,2024-02-27,C016,P015,6.3,1
TS0000072,2024-02-27,C030,P023,7.7,1
TS0000073,2024-02-28,C004,P015,7.8,1
TS0000074,2024-02-28,C025,P015,8.8,1
TS0000075,2024-02-28,C016,P015,7.4,1
TS0000076,2024-02-28,C026,P015,3.8,1
TS0000077,2024-02-28,C029,P023,7.2,1
TS0000078,2024-02-29,C029,P023,3.9,1
TS0000079,2024-02-29,C030,P023,7.1,1
TS0000080,2024-02-29,C026,P015,7.6,1
TS0000081,2024-02-29,C025,P015,0.9,0
TS0000082,2024-02-29,C004,P015,5.5,1
TS0000083,2024-03-01,C029,P023,1.7,0
TS0000084,2024-03-01,C025,P015,8.0,1
TS0000085,2024-03-01,C004,P015,6.4,1
TS0000086,2024-03-01,C016,P015,8.3,1
TS0000087,2024-03-01,C026,P015,7.3,1
TS0000088,2024-03-04,C029,P023,6.3,1
TS0000089,2024-03-04,C030,P023,2.5,1
TS0000090,2024-03-04,C016,P015,5.2,1
TS0000091,2024-03-05,C026,P015,2.9,0
TS0000092,2024-03-05,C025,P015,5.8,1
TS0000093,2024-03-05,C030,P023,9.3,1
TS0000094,2024-03-06,C004,P015,4.4,1
TS0000095,2024-03-06,C029,P023,7.1,1
TS0000096,2024-03-06,C030,P023,5.1,1
TS0000097,2024-03-07,C025,P015,6.7,1
TS0000098,2024-03-07,C016,P015,3.3,1
TS0000099,2024-03-07,C026,P015,8.9,1
TS0000100,2024-03-07,C004,P015,0.7,0
TS0000101,2024-03-07,C029,P023,7.1,1
TS0000102,2024-03-07,C030,P023,4.6,1
TS0000103,2024-03-08,C029,P023,6.1,1
TS0000104,2024-03-08,C025,P015,4.5,1
TS0000105,2024-03-11,C026,P015,4.6,1
TS0000106,2024-03-11,C030,P023,8.0,1
TS0000107,2024-03-12,C029,P023,5.9,1
TS0000108,2024-03-12,C004,P015,6.9,1
TS0000109,2024-03-12,C025,P015,2.3,0
TS0000110,2024-03-12,C026,P015,7.6,1
TS0000111,2024-03-13,C016,P015,6.9,1
TS0000112,2024-03-13,C025,P015,5.7,1
TS0000113,2024-03-13,C004,P015,5.8,1
TS0000114,2024-03-13,C030,P023,7.4,1
TS0000115,2024-03-13,C029,P023,7.5,1
TS0000116,2024-03-14,C029,P023,2.8,0
TS0000117,2024-03-14,C004,P015,5.1,1
TS0000118,2024-03-14,C016,P015,4.7,1
TS0000119,2024-03-15,C029,P023,4.6,1
TS0000120,2024-03-15,C026,P015,7.0,1
TS0000121,2024-03-15,C025,P015,5.6,1
TS0000122,2024-03-18,C030,P023,5.7,1
TS0000123,2024-03-18,C029,P023,7.3,1
TS0000124,2024-03-18,C004,P015,4.1,1
TS0000125,2024-03-18,C026,P015,6.7,1
TS0000126,2024-03-18,C016,P015,5.8,1
TS0000127,2024-03-19,C016,P015,7.6,1
TS0000128,2024-03-19,C026,P015,7.3,1
TS0000129,2024-03-19,C004,P015,7.2,1
TS0000130,2024-03-19,C025,P015,6.2,1
TS0000131,2024-03-19,C030,P023,4.6,1
TS0000132,2024-03-19,C029,P023,5.2,1
TS0000133,2024-03-20,C030,P023,9.2,1
TS0000134,2024-03-20,C029,P023,6.2,1
TS0000135,2024-03-20,C026,P015,7.4,1
TS0000136,2024-03-20,C016,P015,6.3,1
TS0000137,2024-03-21,C025,P015,3.4,1
TS0000138,2024-03-21,C026,P015,5.8,1
TS0000139,2024-03-21,C016,P015,3.4,1
TS0000140,2024-03-21,C030,P023,9.7,1
TS0000141,2024-03-22,C026,P015,5.9,1
TS0000142,2024-03-22,C004,P015,8.6,1
TS0000143,2024-03-22,C030,P023,6.4,1
TS0000144,2024-03-25,C029,P023,5.8,1
TS0000145,2024-03-25,C030,P023,4.7,1
TS0000146,2024-03-25,C004,P015,4.0,1
TS0000147,2024-03-26,C030,P023,6.3,1
TS0000148,2024-03-26,C029,P023,7.4,1
TS0000149,2024-03-26,C004,P015,6.7,1
TS0000150,2024-03-26,C026,P015,7.7,1
TS0000151,2024-03-26,C025,P015,2.6,0
TS0000152,2024-03-26,C026,P012,4.9,1
TS0000153,2024-03-26,C001,P012,4.4,1
TS0000154,2024-03-26,C027,P012,6.1,1
TS0000155,2024-03-26,C006,P012,2.2,0
TS0000156,2024-03-27,C026,P015,6.1,1
TS0000157,2024-03-27,C025,P015,5.3,1
TS0000158,2024-03-27,C016,P015,6.4,1
TS0000159,2024-03-27,C004,P015,6.1,1
TS0000160,2024-03-27,C030,P023,6.9,1
TS0000161,2024-03-27,C026,P012,6.4,1
TS0000162,2024-03-27,C001,P012,7.6,1
TS0000163,2024-03-27,C005,P012,4.3,1
TS0000164,2024-03-27,C025,P012,5.9,1
TS0000165,2024-03-27,C006,P012,5.9,1
TS0000166,2024-03-27,C027,P012,6.5,1
TS0000167,2024-03-28,C025,P015,6.2,1
TS0000168,2024-03-28,C016,P015,4.6,1
TS0000169,2024-03-28,C004,P015,6.1,1
TS0000170,2024-03-28,C026,P015,7.1,1
TS0000171,2024-03-28,C029,P023,6.1,1
TS0000172,2024-03-28,C025,P012,7.6,1
TS0000173,2024-03-28,C026,P012,2.6,0
TS0000174,2024-03-28,C005,P012,6.3,1
TS0000175,2024-03-28,C006,P012,1.4,0
TS0000176,2024-03-28,C027,P012,3.4,0
TS0000177,2024-03-29,C004,P015,4.8,1
TS0000178,2024-03-29,C025,P015,6.6,1
TS0000179,2024-03-29,C008,P034,5.6,1
TS0000180,2024-03-29,C027,P012,6.7,1
TS0000181,2024-03-29,C005,P012,5.9,1
TS0000182,2024-03-29,C006,P012,5.7,1
TS0000183,2024-03-29,C026,P012,7.4,1
TS0000184,2024-03-29,C001,P012,5.4,1
TS0000185,2024-03-29,C025,P012,6.7,1
TS0000186,2024-04-01,C023,P034,6.1,1
TS0000187,2024-04-01,C005,P012,7.0,1
TS0000188,2024-04-01,C026,P012,4.2,1
TS0000189,2024-04-01,C006,P012,3.9,1
TS0000190,2024-04-01,C025,P012,3.5,1
TS0000191,2024-04-01,C030,P023,8.1,1
TS0000192,2024-04-01,C029,P023,4.6,1
TS0000193,2024-04-01,C004,P015,1.5,0
TS0000194,2024-04-01,C025,P015,6.7,1
TS0000195,2024-04-01,C016,P015,5.2,1
TS0000196,2024-04-01,C026,P015,8.1,1
TS0000197,2024-04-02,C007,P025,8.7,1
TS0000198,2024-04-02,C027,P025,5.4,1
TS0000199,2024-04-02,C023,P034,5.0,1
TS0000200,2024-04-02,C006,P034,6.1,1
TS0000201,2024-04-02,C027,P034,2.7,1
TS0000202,2024-04-02,C008,P034,6.7,1
TS0000203,2024-04-02,C026,P012,6.4,1
TS0000204,2024-04-02,C005,P012,4.9,1
TS0000205,2024-04-02,C006,P012,3.5,0
TS0000206,2024-04-02,C029,P023,5.3,0
TS0000207,2024-04-02,C026,P015,5.9,1
TS0000208,2024-04-02,C016,P015,1.7,0
TS0000209,2024-04-02,C025,P015,7.2,1
TS0000210,2024-04-03,C026,P015,7.2,1
TS0000211,2024-04-03,C004,P015,8.8,1
TS0000212,2024-04-03,C030,P023,6.5,1
TS0000213,2024-04-03,C029,P023,6.1,1
TS0000214,2024-04-03,C007,P025,7.3,1
TS0000215,2024-04-03,C005,P025,5.8,1
TS0000216,2024-04-03,C014,P025,4.1,1
TS0000217,2024-04-03,C005,P012,7.3,1
TS0000218,2024-04-03,C006,P012,5.6,1
TS0000219,2024-04-03,C025,P012,7.8,1
TS0000220,2024-04-03,C023,P034,5.1,1
TS0000221,2024-04-03,C008,P034,6.0,1
TS0000222,2024-04-03,C006,P034,3.6,0
TS0000223,2024-04-04,C027,P012,7.6,1
TS0000224,2024-04-04,C006,P012,6.0,1
TS0000225,2024-04-04,C025,P012,6.9,1
TS0000226,2024-04-04,C001,P012,1.3,0
TS0000227,2024-04-04,C005,P012,3.4,1
TS0000228,2024-04-04,C026,P012,5.9,1
TS0000229,2024-04-04,C005,P025,6.0,1
TS0000230,2024-04-04,C004,P025,3.5,1
TS0000231,2024-04-04,C014,P025,8.3,1
TS0000232,2024-04-04,C027,P025,7.3,1
TS0000233,2024-04-04,C015,P025,1.9,0
TS0000234,2024-04-04,C007,P025,7.2,1
TS0000235,2024-04-04,C026,P015,5.7,1
TS0000236,2024-04-04,C016,P015,5.4,1
TS0000237,2024-04-04,C030,P023,4.8,1
TS0000238,2024-04-04,C023,P034,8.1,1
TS0000239,2024-04-05,C023,P034,5.9,1
TS0000240,2024-04-05,C008,P034,6.2,1
TS0000241,2024-04-05,C027,P034,5.5,1
TS0000242,2024-04-05,C006,P034,6.7,1
TS0000243,2024-04-05,C027,P025,4.2,1
TS0000244,2024-04-05,C004,P025,5.7,1
TS0000245,2024-04-05,C014,P025,5.3,1
TS0000246,2024-04-05,C015,P025,3.0,0
TS0000247,2024-04-05,C007,P025,4.9,1
TS0000248,2024-04-05,C005,P025,3.0,1
TS0000249,2024-04-05,C001,P012,4.3,0
TS0000250,2024-04-05,C006,P012,2.8,0
TS0000251,2024-04-05,C027,P012,5.3,1
TS0000252,2024-04-05,C005,P012,7.3,1
TS0000253,2024-04-05,C026,P012,4.6,1
TS0000254,2024-04-05,C025,P012,7.1,1
TS0000255,2024-04-05,C029,P023,8.3,1
TS0000256,2024-04-05,C030,P023,8.1,1
TS0000257,2024-04-05,C026,P015,5.8,1
TS0000258,2024-04-05,C025,P015,4.7,1
TS0000259,2024-04-05,C004,P015,2.5,0
TS0000260,2024-04-08,C027,P034,6.2,1
TS0000261,2024-04-08,C008,P034,4.1,1
TS0000262,2024-04-08,C023,P034,8.0,1
TS0000263,2024-04-08,C006,P034,3.1,1
TS0000264,2024-04-08,C015,P025,6.6,1
TS0000265,2024-04-08,C027,P025,5.6,1
TS0000266,2024-04-08,C007,P025,8.0,1
TS0000267,2024-04-08,C005,P025,5.4,1
TS0000268,2024-04-08,C014,P025,4.8,1
TS0000269,2024-04-08,C004,P025,7.8,1
TS0000270,2024-04-08,C030,P023,7.1,1
TS0000271,2024-04-08,C029,P023,8.6,1
TS0000272,2024-04-08,C027,P012,1.9,0
TS0000273,2024-04-08,C025,P012,6.1,1
TS0000274,2024-04-08,C004,P015,7.2,1
TS0000275,2024-04-09,C023,P034,4.8,1
TS0000276,2024-04-09,C006,P034,3.6,1
TS0000277,2024-04-09,C025,P015,9.0,1
TS0000278,2024-04-09,C016,P015,3.8,1
TS0000279,2024-04-09,C004,P015,4.7,1
TS0000280,2024-04-09,C029,P023,5.2,1
TS0000281,2024-04-09,C005,P012,5.1,1
TS0000282,2024-04-09,C027,P012,2.4,0
TS0000283,2024-04-09,C001,P012,5.2,1
TS0000284,2024-04-09,C025,P012,2.6,1
TS0000285,2024-04-09,C027,P025,7.4,1
TS0000286,2024-04-09,C005,P025,3.8,1
TS0000287,2024-04-10,C030,P023,5.9,1
TS0000288,2024-04-10,C029,P023,5.9,1
TS0000289,2024-04-10,C004,P015,6.8,1
TS0000290,2024-04-10,C016,P015,7.6,1
TS0000291,2024-04-10,C025,P015,7.3,1
TS0000292,2024-04-10,C026,P015,7.0,1
TS0000293,2024-04-10,C004,P025,5.6,1
TS0000294,2024-04-10,C014,P025,3.6,1
TS0000295,2024-04-10,C007,P025,4.5,1
TS0000296,2024-04-10,C005,P025,4.1,1
TS0000297,2024-04-10,C005,P012,4.5,1
TS0000298,2024-04-10,C008,P034,7.5,1
TS0000299,2024-04-10,C023,P034,5.8,1
TS0000300,2024-04-11,C025,P015,6.9,1
TS0000301,2024-04-11,C016,P015,7.3,1
TS0000302,2024-04-11,C026,P015,5.5,1
TS0000303,2024-04-11,C008,P034,5.6,1
TS0000304,2024-04-11,C027,P025,5.3,1
TS0000305,2024-04-11,C005,P025,6.2,1
TS0000306,2024-04-11,C014,P025,4.8,1
TS0000307,2024-04-11,C015,P025,2.1,0
TS0000308,2024-04-11,C001,P012,7.5,1
TS0000309,2024-04-11,C006,P012,0.2,0
TS0000310,2024-04-11,C029,P023,2.1,0
TS0000311,2024-04-11,C030,P023,5.8,1
TS0000312,2024-04-12,C001,P012,6.5,1
TS0000313,2024-04-12,C027,P012,6.4,1
TS0000314,2024-04-12,C025,P012,8.3,1
TS0000315,2024-04-12,C005,P012,6.3,1
TS0000316,2024-04-12,C026,P012,1.8,0
TS0000317,2024-04-12,C006,P012,2.0,0
TS0000318,2024-04-12,C016,P015,2.1,1
TS0000319,2024-04-12,C004,P015,1.9,0
TS0000320,2024-04-12,C008,P034,4.7,1
TS0000321,2024-04-12,C030,P023,1.3,0
TS0000322,2024-04-12,C029,P023,5.4,1
TS0000323,2024-04-12,C027,P025,7.7,1
TS0000324,2024-04-12,C014,P025,4.2,1
TS0000325,2024-04-12,C005,P025,6.7,1
TS0000326,2024-04-15,C025,P012,3.7,0
TS0000327,2024-04-15,C001,P012,7.8,1
TS0000328,2024-04-15,C006,P012,1.0,0
TS0000329,2024-04-15,C005,P012,1.6,0
TS0000330,2024-04-15,C027,P012,7.9,1
TS0000331,2024-04-15,C026,P012,5.9,1
TS0000332,2024-04-15,C030,P023,5.3,1
TS0000333,2024-04-15,C029,P023,4.5,1
TS0000334,2024-04-15,C007,P025,5.8,1
TS0000335,2024-04-15,C014,P025,2.5,0
TS0000336,2024-04-15,C027,P025,2.5,0
TS0000337,2024-04-15,C004,P015,5.2,1
TS0000338,2024-04-15,C006,P034,8.1,1
TS0000339,2024-04-15,C008,P034,3.0,1
TS0000340,2024-04-15,C011,P035,7.6,1
TS0000341,2024-04-16,C025,P012,5.2,1
TS0000342,2024-04-16,C026,P012,6.2,1
TS0000343,2024-04-16,C013,P035,6.3,1
TS0000344,2024-04-16,C011,P035,6.0,1
TS0000345,2024-04-16,C017,P035,9.3,1
TS0000346,2024-04-16,C014,P035,8.1,1
TS0000347,2024-04-16,C004,P025,5.9,1
TS0000348,2024-04-16,C005,P025,7.4,1
TS0000349,2024-04-16,C027,P025,9.5,1
TS0000350,2024-04-16,C015,P025,5.6,0
TS0000351,2024-04-16,C014,P025,8.6,1
TS0000352,2024-04-16,C027,P034,4.8,1
TS0000353,2024-04-16,C008,P034,6.1,1
TS0000354,2024-04-16,C023,P034,4.4,1
TS0000355,2024-04-16,C006,P034,6.7,1
TS0000356,2024-04-16,C016,P015,4.5,1
TS0000357,2024-04-16,C029,P023,6.3,1
TS0000358,2024-04-17,C016,P015,7.2,1
TS0000359,2024-04-17,C026,P015,5.7,1
TS0000360,2024-04-17,C025,P015,5.6,1
TS0000361,2024-04-17,C026,P012,2.1,0
TS0000362,2024-04-17,C027,P012,5.2,1
TS0000363,2024-04-17,C001,P012,5.1,1
TS0000364,2024-04-17,C006,P012,1.9,0
TS0000365,2024-04-17,C005,P012,7.6,1
TS0000366,2024-04-17,C025,P012,4.9,1
TS0000367,2024-04-17,C029,P023,5.7,1
TS0000368,2024-04-17,C014,P035,4.6,1
TS0000369,2024-04-17,C005,P025,4.6,1
TS0000370,2024-04-17,C004,P025,2.0,0
TS0000371,2024-04-17,C014,P025,4.1,1
TS0000372,2024-04-17,C006,P034,3.9,1
TS0000373,2024-04-17,C008,P034,6.1,1
TS0000374,2024-04-18,C004,P025,8.8,1
TS0000375,2024-04-18,C027,P025,5.3,1
TS0000376,2024-04-18,C014,P025,6.3,1
TS0000377,2024-04-18,C005,P025,5.4,1
TS0000378,2024-04-18,C015,P025,2.8,0
TS0000379,2024-04-18,C007,P025,2.4,0
TS0000380,2024-04-18,C025,P015,5.3,1
TS0000381,2024-04-18,C004,P015,7.8,1
TS0000382,2024-04-18,C016,P015,6.7,1
TS0000383,2024-04-18,C026,P015,6.6,1
TS0000384,2024-04-18,C011,P035,1.3,0
TS0000385,2024-04-18,C014,P035,7.3,1
TS0000386,2024-04-18,C013,P035,3.6,1
TS0000387,2024-04-18,C005,P012,6.2,1
TS0000388,2024-04-18,C001,P012,4.1,1
TS0000389,2024-04-18,C006,P012,7.5,1
TS0000390,2024-04-18,C025,P012,7.3,1
TS0000391,2024-04-18,C030,P023,4.8,1
TS0000392,2024-04-18,C008,P034,6.7,1
TS0000393,2024-04-19,C007,P025,6.8,1
TS0000394,2024-04-19,C005,P025,3.4,1
TS0000395,2024-04-19,C014,P025,5.9,1
TS0000396,2024-04-19,C015,P025,7.5,1
TS0000397,2024-04-19,C027,P025,7.0,1
TS0000398,2024-04-19,C025,P012,6.0,1
TS0000399,2024-04-19,C008,P034,7.4,1
TS0000400,2024-04-19,C027,P034,7.5,1
TS0000401,2024-04-19,C004,P015,5.2,1
TS0000402,2024-04-19,C026,P015,8.2,1
TS0000403,2024-04-19,C016,P015,0.9,0
TS0000404,2024-04-19,C014,P035,3.9,1
TS0000405,2024-04-19,C017,P035,2.9,1
TS0000406,2024-04-19,C030,P023,5.7,1
TS0000407,2024-04-19,C029,P023,6.1,1
TS0000408,2024-04-22,C023,P034,8.5,1
TS0000409,2024-04-22,C027,P034,4.2,1
TS0000410,2024-04-22,C006,P034,1.7,0
TS0000411,2024-04-22,C029,P023,7.4,1
TS0000412,2024-04-22,C030,P023,4.3,1
TS0000413,2024-04-22,C017,P035,6.2,1
TS0000414,2024-04-22,C011,P035,6.1,1
TS0000415,2024-04-22,C014,P035,3.1,0
TS0000416,2024-04-22,C013,P035,5.5,1
TS0000417,2024-04-22,C016,P015,7.3,1
TS0000418,2024-04-22,C005,P025,3.7,1
TS0000419,2024-04-22,C026,P012,4.8,1
TS0000420,2024-04-22,C025,P012,6.3,1
TS0000421,2024-04-22,C006,P012,1.6,0
TS0000422,2024-04-22,C027,P012,3.5,1
TS0000423,2024-04-22,C001,P012,6.7,1
TS0000424,2024-04-22,C005,P012,6.4,1
TS0000425,2024-04-23,C026,P012,2.7,0
TS0000426,2024-04-23,C001,P012,4.4,1
TS0000427,2024-04-23,C027,P012,7.3,1
TS0000428,2024-04-23,C006,P012,7.2,1
TS0000429,2024-04-23,C014,P035,8.4,1
TS0000430,2024-04-23,C011,P035,6.7,1
TS0000431,2024-04-23,C013,P035,7.0,1
TS0000432,2024-04-23,C008,P034,5.0,1
TS0000433,2024-04-23,C016,P015,0.5,0
TS0000434,2024-04-23,C026,P015,6.2,1
TS0000435,2024-04-23,C004,P015,3.8,1
TS0000436,2024-04-23,C005,P025,8.0,1
TS0000437,2024-04-23,C014,P025,4.5,1
TS0000438,2024-04-23,C015,P025,7.1,1
TS0000439,2024-04-23,C004,P025,6.8,1
TS0000440,2024-04-23,C029,P023,5.9,1
TS0000441,2024-04-24,C026,P012,4.2,1
TS0000442,2024-04-24,C025,P012,6.0,1
TS0000443,2024-04-24,C001,P012,7.9,1
TS0000444,2024-04-24,C008,P034,4.5,1
TS0000445,2024-04-24,C023,P034,7.6,1
TS0000446,2024-04-24,C027,P034,3.3,1
TS0000447,2024-04-24,C006,P034,3.3,0
TS0000448,2024-04-24,C029,P023,7.4,1
TS0000449,2024-04-24,C013,P035,2.8,1
TS0000450,2024-04-24,C017,P035,6.8,1
TS0000451,2024-04-24,C004,P025,4.0,1
TS0000452,2024-04-24,C025,P015,5.6,1
TS0000453,2024-04-25,C016,P015,1.8,1
TS0000454,2024-04-25,C026,P015,8.9,1
TS0000455,2024-04-25,C025,P015,6.4,1
TS0000456,2024-04-25,C004,P015,5.9,1
TS0000457,2024-04-25,C023,P034,7.9,1
TS0000458,2024-04-25,C027,P034,5.7,1
TS0000459,2024-04-25,C008,P034,4.9,1
TS0000460,2024-04-25,C006,P034,1.6,0
TS0000461,2024-04-25,C029,P023,7.2,1
TS0000462,2024-04-25,C030,P023,8.2,1
TS0000463,2024-04-25,C005,P012,4.6,1
TS0000464,2024-04-25,C026,P012,8.4,1
TS0000465,2024-04-25,C027,P012,7.5,1
TS0000466,2024-04-25,C025,P012,4.1,1
TS0000467,2024-04-25,C006,P012,7.5,1
TS0000468,2024-04-25,C001,P012,4.7,1
TS0000469,2024-04-25,C007,P025,4.6,1
TS0000470,2024-04-25,C015,P025,8.5,1
TS0000471,2024-04-25,C014,P025,5.2,1
TS0000472,2024-04-25,C027,P025,6.3,1
TS0000473,2024-04-25,C005,P025,7.5,1
TS0000474,2024-04-25,C004,P025,8.0,1
TS0000475,2024-04-26,C029,P023,6.4,1
TS0000476,2024-04-26,C030,P023,7.9,1
TS0000477,2024-04-26,C026,P015,4.3,1
TS0000478,2024-04-26,C004,P015,0.9,0
TS0000479,2024-04-26,C016,P015,9.7,1
TS0000480,2024-04-26,C007,P025,5.3,1
TS0000481,2024-04-26,C005,P025,7.6,1
TS0000482,2024-04-26,C015,P025,0.3,0
TS0000483,2024-04-26,C027,P025,6.1,1
TS0000484,2024-04-26,C004,P025,8.3,1
TS0000485,2024-04-26,C014,P025,5.5,1
TS0000486,2024-04-26,C014,P035,5.2,1
TS0000487,2024-04-26,C027,P034,5.0,1
TS0000488,2024-04-26,C006,P012,1.7,0
TS0000489,2024-04-26,C025,P012,8.8,1
TS0000490,2024-04-29,C017,P035,7.5,1
TS0000491,2024-04-29,C011,P035,8.4,1
TS0000492,2024-04-29,C015,P025,8.1,1
TS0000493,2024-04-29,C027,P025,1.2,0
TS0000494,2024-04-29,C014,P025,6.8,1
TS0000495,2024-04-29,C001,P012,2.6,0
TS0000496,2024-04-29,C027,P012,5.7,1
TS0000497,2024-04-29,C005,P012,5.8,1
TS0000498,2024-04-29,C025,P012,7.2,1
TS0000499,2024-04-29,C029,P023,3.6,1
TS0000500,2024-04-29,C030,P023,4.7,1
TS0000501,2024-04-29,C026,P015,5.8,1
TS0000502,2024-04-29,C016,P015,6.8,1
TS0000503,2024-04-29,C023,P034,3.7,1
TS0000504,2024-04-29,C008,P034,6.3,1
TS0000505,2024-04-29,C027,P034,6.5,1
TS0000506,2024-04-30,C023,P034,6.6,1
TS0000507,2024-04-30,C014,P025,5.8,1
TS0000508,2024-04-30,C025,P012,4.1,1
TS0000509,2024-04-30,C005,P012,8.4,1
TS0000510,2024-04-30,C027,P012,6.0,1
TS0000511,2024-04-30,C026,P012,5.9,1
TS0000512,2024-04-30,C001,P012,7.3,1
TS0000513,2024-04-30,C006,P012,6.3,1
TS0000514,2024-04-30,C030,P023,9.2,1
TS0000515,2024-04-30,C029,P023,7.8,1
TS0000516,2024-04-30,C011,P035,6.4,1
TS0000517,2024-04-30,C017,P035,6.9,1
TS0000518,2024-04-30,C014,P035,4.7,1
TS0000519,2024-04-30,C026,P015,6.7,1
TS0000520,2024-04-30,C016,P015,6.8,1
TS0000521,2024-04-30,C025,P015,5.5,1
TS0000522,2024-04-30,C004,P015,6.7,1
TS0000523,2024-05-01,C006,P034,5.9,1
TS0000524,2024-05-01,C023,P034,8.1,1
TS0000525,2024-05-01,C008,P034,4.6,1
TS0000526,2024-05-01,C026,P012,6.3,1
TS0000527,2024-05-01,C006,P012,4.2,1
TS0000528,2024-05-01,C025,P012,4.1,1
TS0000529,2024-05-01,C005,P012,4.6,1
TS0000530,2024-05-01,C027,P012,4.7,1
TS0000531,2024-05-01,C030,P023,7.0,1
TS0000532,2024-05-01,C029,P023,2.5,1
TS0000533,2024-05-01,C011,P035,7.6,1
TS0000534,2024-05-01,C014,P035,6.3,1
TS0000535,2024-05-01,C016,P015,5.7,1
TS0000536,2024-05-01,C007,P025,4.9,1
TS0000537,2024-05-02,C008,P034,5.5,1
TS0000538,2024-05-02,C023,P034,5.8,1
TS0000539,2024-05-02,C005,P025,6.1,1
TS0000540,2024-05-02,C014,P035,4.4,1
TS0000541,2024-05-02,C011,P035,2.6,0
TS0000542,2024-05-02,C013,P035,2.4,1
TS0000543,2024-05-02,C005,P012,0.6,0
TS0000544,2024-05-02,C026,P012,0.7,0
TS0000545,2024-05-02,C001,P012,9.4,1
TS0000546,2024-05-02,C025,P012,1.5,1
TS0000547,2024-05-02,C016,P015,5.8,1
TS0000548,2024-05-02,C004,P015,2.9,1
TS0000549,2024-05-02,C025,P015,8.5,1
TS0000550,2024-05-02,C029,P023,7.3,1
TS0000551,2024-05-02,C030,P023,6.1,1
TS0000552,2024-05-03,C014,P035,5.9,1
TS0000553,2024-05-03,C027,P034,6.7,1
TS0000554,2024-05-03,C006,P034,3.8,0
TS0000555,2024-05-03,C027,P012,4.0,0
TS0000556,2024-05-03,C001,P012,3.1,1
TS0000557,2024-05-03,C025,P012,6.2,1
